segregant,batch,OD_covariate
A04_92-BYxRM_eQTL_08,8,0.291
A04_93-BYxRM_eQTL_09,9,0.133
A04_94-BYxRM_eQTL_03,3,0.182
A04_95-BYxRM_eQTL_08,8,0.248
A04_96-BYxRM_eQTL_06,6,0.13
A05_01-BYxRM_eQTL_02,2,0.221
A05_02-BYxRM_eQTL_09,9,0.239
A05_03-BYxRM_eQTL_07,7,0.196
A05_04-BYxRM_eQTL_05,5,0.138
A05_05-BYxRM_eQTL_07,7,0.183
A05_06-BYxRM_eQTL_07,7,0.189
A05_07-BYxRM_eQTL_09,9,0.279
A05_08-BYxRM_eQTL_11,11,0.253
A05_09-BYxRM_eQTL_06,6,0.135
A05_10-BYxRM_eQTL_05,5,0.172
A05_11-BYxRM_eQTL_10,10,0.211
A05_12-BYxRM_eQTL_08,8,0.283
A05_13-BYxRM_eQTL_12,12,0.279
A05_14-BYxRM_eQTL_04,4,0.29
A05_15-BYxRM_eQTL_03,3,0.212
A05_16-BYxRM_eQTL_05,5,0.238
A05_17-BYxRM_eQTL_01,1,0.322
A05_18-BYxRM_eQTL_01,1,0.407
A05_19-BYxRM_eQTL_01,1,0.258
A05_20-BYxRM_eQTL_05,5,0.171
A05_21-BYxRM_eQTL_08,8,0.26
A05_22-BYxRM_eQTL_03,3,0.194
A05_23-BYxRM_eQTL_03,3,0.308
A05_24-BYxRM_eQTL_10,10,0.236
A05_25-BYxRM_eQTL_10,10,0.243
A05_26-BYxRM_eQTL_09,9,0.212
A05_27-BYxRM_eQTL_03,3,0.19
A05_28-BYxRM_eQTL_10,10,0.255
A05_29-BYxRM_eQTL_10,10,0.243
A05_30-BYxRM_eQTL_04,4,0.2
A05_31-BYxRM_eQTL_12,12,0.227
A05_33-BYxRM_eQTL_09,9,0.241
A05_34-BYxRM_eQTL_01,1,0.323
A05_35-BYxRM_eQTL_01,1,0.288
A05_36-BYxRM_eQTL_04,4,0.234
A05_37-BYxRM_eQTL_11,11,0.24
A05_38-BYxRM_eQTL_06,6,0.132
A05_39-BYxRM_eQTL_09,9,0.193
A05_40-BYxRM_eQTL_02,2,0.177
A05_41-BYxRM_eQTL_05,5,0.139
A05_42-BYxRM_eQTL_03,3,0.208
A05_43-BYxRM_eQTL_01,1,0.295
A05_44-BYxRM_eQTL_02,2,0.33
A05_45-BYxRM_eQTL_02,2,0.204
A05_47-BYxRM_eQTL_07,7,0.214
A05_48-BYxRM_eQTL_04,4,0.244
A05_49-BYxRM_eQTL_06,6,0.109
A05_50-BYxRM_eQTL_11,11,0.192
A05_53-BYxRM_eQTL_05,5,0.213
A05_54-BYxRM_eQTL_13,13,0.387
A05_55-BYxRM_eQTL_05,5,0.128
A05_56-BYxRM_eQTL_01,1,0.277
A05_57-BYxRM_eQTL_13,13,0.208
A05_59-BYxRM_eQTL_07,7,0.186
A05_60-BYxRM_eQTL_07,7,0.147
A05_61-BYxRM_eQTL_13,13,0.11
A05_62-BYxRM_eQTL_09,9,0.281
A05_63-BYxRM_eQTL_09,9,0.192
A05_64-BYxRM_eQTL_04,4,0.323
A05_65-BYxRM_eQTL_10,10,0.457
A05_66-BYxRM_eQTL_13,13,0.247
A05_67-BYxRM_eQTL_09,9,0.28
A05_68-BYxRM_eQTL_07,7,0.218
A05_69-BYxRM_eQTL_08,8,0.274
A05_70-BYxRM_eQTL_12,12,0.241
A05_71-BYxRM_eQTL_01,1,0.289
A05_72-BYxRM_eQTL_08,8,0.261
A05_73-BYxRM_eQTL_12,12,0.248
A05_74-BYxRM_eQTL_05,5,0.213
A05_75-BYxRM_eQTL_03,3,0.223
A05_76-BYxRM_eQTL_02,2,0.182
A05_77-BYxRM_eQTL_08,8,0.277
A05_78-BYxRM_eQTL_07,7,0.187
A05_79-BYxRM_eQTL_02,2,0.177
A05_80-BYxRM_eQTL_05,5,0.148
A05_81-BYxRM_eQTL_04,4,0.28
A05_83-BYxRM_eQTL_02,2,0.219
A05_84-BYxRM_eQTL_03,3,0.228
A05_85-BYxRM_eQTL_11,11,0.286
A05_86-BYxRM_eQTL_03,3,0.287
A05_87-BYxRM_eQTL_07,7,0.218
A05_88-BYxRM_eQTL_04,4,0.264
A05_89-BYxRM_eQTL_04,4,0.251
A05_90-BYxRM_eQTL_08,8,0.242
A05_91-BYxRM_eQTL_04,4,0.273
A05_92-BYxRM_eQTL_03,3,0.19
A05_93-BYxRM_eQTL_02,2,0.191
A05_94-BYxRM_eQTL_01,1,0.284
A05_95-BYxRM_eQTL_03,3,0.186
A06_01-BYxRM_eQTL_10,10,0.439
A06_02-BYxRM_eQTL_09,9,0.173
A06_03-BYxRM_eQTL_06,6,0.189
A06_04-BYxRM_eQTL_07,7,0.244
A06_06-BYxRM_eQTL_08,8,0.314
A06_07-BYxRM_eQTL_03,3,0.156
A06_08-BYxRM_eQTL_04,4,0.283
A06_09-BYxRM_eQTL_01,1,0.276
A06_10-BYxRM_eQTL_05,5,0.143
A06_11-BYxRM_eQTL_02,2,0.136
A06_12-BYxRM_eQTL_03,3,0.237
A06_13-BYxRM_eQTL_13,13,0.2
A06_14-BYxRM_eQTL_09,9,0.186
A06_15-BYxRM_eQTL_07,7,0.166
A06_16-BYxRM_eQTL_10,10,0.264
A06_17-BYxRM_eQTL_07,7,0.156
A06_18-BYxRM_eQTL_01,1,0.31
A06_19-BYxRM_eQTL_04,4,0.28
A06_20-BYxRM_eQTL_10,10,0.226
A06_21-BYxRM_eQTL_05,5,0.145
A06_22-BYxRM_eQTL_03,3,0.176
A06_23-BYxRM_eQTL_12,12,0.136
A06_24-BYxRM_eQTL_03,3,0.247
A06_25-BYxRM_eQTL_02,2,0.095
A06_26-BYxRM_eQTL_07,7,0.173
A06_27-BYxRM_eQTL_11,11,0.327
A06_28-BYxRM_eQTL_13,13,0.168
A06_29-BYxRM_eQTL_08,8,0.306
A06_30-BYxRM_eQTL_05,5,0.203
A06_31-BYxRM_eQTL_08,8,0.236
A06_32-BYxRM_eQTL_06,6,0.143
A06_33-BYxRM_eQTL_07,7,0.226
A06_34-BYxRM_eQTL_06,6,0.182
A06_35-BYxRM_eQTL_11,11,0.294
A06_36-BYxRM_eQTL_08,8,0.317
A06_37-BYxRM_eQTL_09,9,0.23
A06_38-BYxRM_eQTL_09,9,0.323
A06_39-BYxRM_eQTL_11,11,0.314
A06_40-BYxRM_eQTL_09,9,0.273
A06_42-BYxRM_eQTL_13,13,0.183
A06_43-BYxRM_eQTL_02,2,0.182
A06_44-BYxRM_eQTL_02,2,0.217
A06_45-BYxRM_eQTL_03,3,0.2
A06_46-BYxRM_eQTL_13,13,0.203
A06_47-BYxRM_eQTL_07,7,0.132
A06_48-BYxRM_eQTL_09,9,0.251
A06_49-BYxRM_eQTL_07,7,0.161
A06_50-BYxRM_eQTL_04,4,0.223
A06_51-BYxRM_eQTL_10,10,0.19
A06_52-BYxRM_eQTL_02,2,0.202
A06_53-BYxRM_eQTL_09,9,0.171
A06_55-BYxRM_eQTL_08,8,0.273
A06_56-BYxRM_eQTL_03,3,0.157
A06_57-BYxRM_eQTL_01,1,0.323
A06_58-BYxRM_eQTL_01,1,0.251
A06_59-BYxRM_eQTL_08,8,0.322
A06_60-BYxRM_eQTL_08,8,0.275
A06_61-BYxRM_eQTL_08,8,0.254
A06_62-BYxRM_eQTL_01,1,0.253
A06_63-BYxRM_eQTL_02,2,0.146
A06_64-BYxRM_eQTL_08,8,0.317
A06_66-BYxRM_eQTL_10,10,0.21
A06_67-BYxRM_eQTL_08,8,0.291
A06_68-BYxRM_eQTL_02,2,0.224
A06_69-BYxRM_eQTL_04,4,0.222
A06_70-BYxRM_eQTL_08,8,0.263
A06_71-BYxRM_eQTL_11,11,0.376
A06_73-BYxRM_eQTL_01,1,0.181
A06_75-BYxRM_eQTL_09,9,0.271
A06_76-BYxRM_eQTL_08,8,0.32
A06_77-BYxRM_eQTL_05,5,0.143
A06_78-BYxRM_eQTL_10,10,0.227
A06_80-BYxRM_eQTL_06,6,0.173
A06_81-BYxRM_eQTL_13,13,0.221
A06_82-BYxRM_eQTL_02,2,0.225
A06_83-BYxRM_eQTL_04,4,0.211
A06_84-BYxRM_eQTL_02,2,0.139
A06_85-BYxRM_eQTL_06,6,0.083
A06_86-BYxRM_eQTL_08,8,0.329
A06_87-BYxRM_eQTL_11,11,0.139
A06_88-BYxRM_eQTL_04,4,0.325
A06_89-BYxRM_eQTL_05,5,0.172
A06_90-BYxRM_eQTL_09,9,0.229
A06_91-BYxRM_eQTL_08,8,0.24
A06_92-BYxRM_eQTL_11,11,0.32
A06_93-BYxRM_eQTL_07,7,0.221
A06_94-BYxRM_eQTL_04,4,0.343
A06_95-BYxRM_eQTL_05,5,0.208
A06_96-BYxRM_eQTL_08,8,0.136
A07_01-BYxRM_eQTL_03,3,0.193
A07_02-BYxRM_eQTL_11,11,0.314
A07_03-BYxRM_eQTL_04,4,0.202
A07_04-BYxRM_eQTL_05,5,0.213
A07_05-BYxRM_eQTL_12,12,0.239
A07_06-BYxRM_eQTL_11,11,0.248
A07_07-BYxRM_eQTL_08,8,0.259
A07_08-BYxRM_eQTL_06,6,0.157
A07_09-BYxRM_eQTL_09,9,0.252
A07_10-BYxRM_eQTL_13,13,0.242
A07_11-BYxRM_eQTL_02,2,0.14
A07_12-BYxRM_eQTL_11,11,0.251
A07_13-BYxRM_eQTL_02,2,0.223
A07_14-BYxRM_eQTL_02,2,0.214
A07_15-BYxRM_eQTL_10,10,0.236
A07_16-BYxRM_eQTL_13,13,0.28
A07_17-BYxRM_eQTL_07,7,0.131
A07_18-BYxRM_eQTL_03,3,0.236
A07_19-BYxRM_eQTL_04,4,0.281
A07_20-BYxRM_eQTL_11,11,0.33
A07_21-BYxRM_eQTL_09,9,0.198
A07_22-BYxRM_eQTL_04,4,0.215
A07_23-BYxRM_eQTL_06,6,0.18
A07_24-BYxRM_eQTL_12,12,0.188
A07_25-BYxRM_eQTL_02,2,0.162
A07_26-BYxRM_eQTL_12,12,0.23
A07_27-BYxRM_eQTL_02,2,0.165
A07_28-BYxRM_eQTL_01,1,0.334
A07_29-BYxRM_eQTL_13,13,0.4
A07_30-BYxRM_eQTL_11,11,0.26
A07_31-BYxRM_eQTL_12,12,0.205
A07_32-BYxRM_eQTL_05,5,0.162
A07_33-BYxRM_eQTL_13,13,0.169
A07_34-BYxRM_eQTL_04,4,0.309
A07_35-BYxRM_eQTL_10,10,0.189
A07_36-BYxRM_eQTL_08,8,0.204
A07_37-BYxRM_eQTL_13,13,0.2
A07_38-BYxRM_eQTL_13,13,0.188
